dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10003832,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003832",AD00171,,Adilabad,22.88286,79.61656,AS,India,,,M,Manganese,,,Unknown,,N,Occurrence,"Birnessite, Braunite, Pyrolusite, Todorokite",Quartz,,STRATIFORM,,,Oxidation,Metamorphism,,,"Pracejus, Bernard.M.",Penganga,"Shale,Limestone,Chert",,,,,"RAO, KRISHNA, 1984.  PETROGENESIS OF MANGANESE ORES OF AIDHRA PRADESH.  SPECIAL PUBLICATION, GEOLOGICAL SURVEY OF INDIA, 12: 593-602",,,,,,,,,C
10003833,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003833",AD00173,,Amatola,21.76615,80.11701,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,N,Occurrence,,,,,,,,,,,"Pracejus, Bernard.M.",,,,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 1-65",,,,,,,,,D
10003834,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003834",AD00175,,Banjari,21.8828,80.31701,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,N,Occurrence,,,,,,,,,,,"Pracejus, Bernard.M.",,,,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A,  22/7 : 1-65",,,,,,,,,D
10003835,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003835",AD00176,,Banjartola,21.95779,80.27534,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,M,"Past Producer","Braunite, Pyrolusite",,,STRATIFORM,,,,"Metamorphism, Oxidation",Jagantola,,"Pracejus, Bernard.M.",,"Quartzite,Schist",,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 1-65",,,,,,1888,,"Geological Survey Of India",D
10003836,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003836",AD00177,,Barbaspur,21.79947,80.10867,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,N,Occurrence,,,,,,,,,,,"Pracejus, Bernard.M.",,,,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN  OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 1-65",,,,,,,,,D
10003837,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003837",AD00179,,Bharweli,21.81614,80.18367,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,L,"Past Producer",Hollandite,Quartz,,STRATIFORM,,,,"Metamorphism, Oxidation",Balaghat,,"Pracejus, Bernard.M.",,"Quartzite,Phyllite",,,"Two Sets Of Folds; S 35 W And N 70 W",,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT-UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETINS OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 41-51",,,,,,,,,C
10003838,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003838",AD00180,,Bharweli,21.8328,80.23367,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,N,Occurrence,,,,,,,,,,,"Pracejus, Bernard.M.",,,,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 1-65",,,,,,,,,D
10003839,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003839",AD00182,,Bijora,21.97446,80.38367,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,N,Occurrence,,,,,,,,,,,"Pracejus, Bernard.M.",,,,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 1-65",,,,,,,,,D
10003840,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003840",AD00183,,Birsola,21.87447,80.11701,AS,India,"Madhya Pradesh",,M,Manganese,,,Unknown,,N,Occurrence,,,,,,,,,,,"Pracejus, Bernard.M.",,,,,,,"SHUKLA, K.D. AND ANANDALWAR, M.A., 1973.  THE GEOLOGY AND MANGANESE ORE DEPOSITS OF THE BALAGHAT UKWA AREA, BALAGHAT DISTRICT, MADHYA PRADESH.  BULLETIN OF THE GEOLOGICAL SURVEY OF INDIA, SERIES A, 22/7 : 1-65",,,,,,,,,D
10003841,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003841",AD00184,,Cavarem,15.1251,74.14215,AS,India,,,M,Manganese,,,Unknown,,S,Producer,"Braunite, Jacobsite, Manganite, Pyrolusite","Goethite, Quartz, Sericite",,"BOULDERS AT SURFACE, CONCRETIONS, LENSES, POCKETS",,,Oxidation,"Supergene Alteration (Lateritization)",,"Crest Of Anticlines","Pracejus, Bernard.M.","Dharwar Supergroup",Phyllite,,"Diorite,Gabbro,Mafic Metamorphic Rock,Gneiss","Large Area Of Shear Zones (About 50 Km Long, About 20 Km Wide)","Indian Peninsular Shield","DESSAI, A.G., 1985.  AN APPRAISAL OF THE MANGANESE ORE DEPOSITS OF GOA, INDIA.  PROC. INDIAN NATN. SCI. ACAD, 51/A/6 : 1021-1032.DESSAI, A.G. AND DESHPANDE, G.G., 1980.  MINERALOGY AND PARAGENESIS OF THE MANGANESE ORE DEPOSITS OF SANGUEM DISTRICT, GOA, INDIA.  RECENT RES. GEOL., 6 : 471-483.",,,,,,,,,C
